Frequency, E', E''
7.41079e+24,1.20139e+09,3.98637e+07
8.15471e+24,1.21035e+09,4.26202e+07
8.76555e+24,1.21121e+09,4.30874e+07
8.43224e+24,1.21133e+09,4.22177e+07
9.57384e+24,1.21341e+09,4.26849e+07
1.13361e+25,1.21374e+09,4.19307e+07
1.14849e+25,1.21494e+09,4.1528e+07
1.15821e+25,1.21537e+09,4.13067e+07
1.21282e+25,1.21538e+09,4.05615e+07
1.34436e+25,1.21617e+09,4.14406e+07
1.35683e+25,1.21521e+09,4.07764e+07
1.33552e+25,1.21554e+09,4.09597e+07
1.01579e+25,1.21645e+09,4.0281e+07
1.1229e+25,1.21651e+09,3.93221e+07
8.93543e+24,1.21611e+09,3.77159e+07
9.37825e+24,1.21671e+09,3.85272e+07
8.66015e+24,1.21581e+09,3.74891e+07
9.4648e+24,1.2154e+09,3.59962e+07
7.81414e+24,1.21503e+09,3.63815e+07
9.75443e+24,1.21614e+09,3.72516e+07
7.55904e+24,1.21572e+09,3.75112e+07
8.68865e+24,1.21518e+09,3.76105e+07
7.33935e+24,1.21464e+09,3.709e+07
5.05614e+24,1.21086e+09,3.72166e+07
1.19262e+24,1.19401e+09,3.82489e+07
2.37625e+22,1.16273e+09,3.93067e+07
1.36046e+21,1.13685e+09,4.27537e+07
4.33589e+19,1.09868e+09,4.91423e+07
5.87693e+18,1.05744e+09,5.78836e+07
5.79815e+17,9.90829e+08,7.37709e+07
5.55261e+16,8.94934e+08,1.00747e+08
6.17132e+15,7.52984e+08,1.38884e+08
9.10237e+14,5.59631e+08,1.59099e+08
1.65529e+14,3.99428e+08,1.58624e+08
3.30162e+13,2.87674e+08,1.61204e+08
8.06752e+12,2.35616e+08,1.66234e+08
1.656e+12,1.75439e+08,1.60714e+08
3.75605e+11,1.24752e+08,1.36706e+08
1.15577e+11,8.34684e+07,1.08022e+08
3.53843e+10,5.48169e+07,8.05413e+07
1.23697e+10,3.61464e+07,5.88081e+07
3.84279e+09,2.12157e+07,3.76022e+07
1.08837e+09,1.63738e+07,2.80213e+07
3.74364e+08,1.11924e+07,1.8857e+07
1.18716e+08,8.01711e+06,1.23207e+07
4.31229e+07,6.5416e+06,9.25196e+06
1.5949e+07,5.4687e+06,6.9869e+06
6.93604e+06,4.49705e+06,5.08616e+06
3.55851e+06,3.91117e+06,4.34248e+06
1.68872e+06,3.58642e+06,3.50658e+06
776560,3.08771e+06,2.77186e+06
415712,2.8463e+06,2.23948e+06
219357,2.64153e+06,1.8716e+06
137066,2.34677e+06,1.69508e+06
83097.9,2.1783e+06,1.36558e+06
46239.3,2.15225e+06,1.22917e+06
28648.2,1.97084e+06,1.12341e+06
19615.4,1.84158e+06,957547
12761.3,1.8691e+06,855386
8934.9,1.76025e+06,706535
6110.15,1.75067e+06,643987
4497.03,1.7197e+06,571771
3084.11,1.57966e+06,482845
2075.59,1.59733e+06,410474
1550.75,1.51354e+06,372719
1120.52,1.48821e+06,388566
873.126,1.46163e+06,283553
645.376,1.46544e+06,274408
509.935,1.41701e+06,251811
368.296,1.45505e+06,240518
309.748,1.47398e+06,169397
238.678,1.41202e+06,146152
189.776,1.38246e+06,106988
149.777,1.3823e+06,115745
124.14,1.36139e+06,51633.4
100.85,1.38209e+06,72821
83.8722,1.33592e+06,73220.5
70.5102,1.36547e+06,72741.5
62.7615,1.38177e+06,76079.4
51.0783,1.35273e+06,37522.8
42.4617,1.33777e+06,34218.6
37.8753,1.35817e+06,25544.7
31.2737,1.32704e+06,25190.6
27.2015,1.30349e+06,36373.6
23.1022,1.34318e+06,350.342
20.592,1.32112e+06,31293.6
17.6381,1.29891e+06,20807.6
15.2641,1.31813e+06,54449.9
13.2401,1.3101e+06,3729.66
11.2214,1.35771e+06,58389.9
9.53128,1.36246e+06,924.078
8.22708,1.31374e+06,10110.9
7.11839,1.28693e+06,43512.5
6.17249,1.30817e+06,26048.8
5.23697,1.30458e+06,8927.84
4.53379,1.26473e+06,25645.7
3.8105,1.30631e+06,50084.3
3.30764,1.30024e+06,13855.9
2.80989,1.28337e+06,22826.3
2.34351,1.27029e+06,15852.5
1.94193,1.28547e+06,10639.8
1.63676,1.22299e+06,1964.91
1.36566,1.26763e+06,10948.1
1.08017,1.27206e+06,72253.5
0.892741,1.19198e+06,19100.6
0.731481,1.19977e+06,74171.8
0.577169,1.22899e+06,11395.7
0.45023,1.26229e+06,27154.2
0.354471,1.29023e+06,23862.7
0.27241,1.21701e+06,18961.4
0.212618,1.2306e+06,29611.4
0.152826,1.15997e+06,21919.9
0.114355,1.22948e+06,15968
0.084269,1.18411e+06,40214.4
0.0592748,1.14418e+06,77223.4
0.0434434,1.18911e+06,51275.9
0.0288197,1.1024e+06,121123
